X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
7,5,9,5,86.2,26.2,94.3,5.1,8.2,3.9318256327243257,6.7,0.0,0.0
7,4,5,2,90.6,35.4,669.1,6.7,18.0,3.4965075614664802,0.9,0.0,0.0
7,4,5,4,90.6,43.7,686.9,6.7,14.6,3.4965075614664802,1.3,0.0,0.0
8,6,9,5,91.7,33.3,77.5,9.0,8.3,4.574710978503383,4.0,0.2,0.0
8,6,9,6,89.3,51.3,102.2,9.6,11.4,4.59511985013459,1.8,0.0,0.0
8,6,11,6,92.3,85.3,488.0,14.7,22.2,3.367295829986474,5.4,0.0,0.0
8,6,11,3,92.3,88.9,495.6,8.5,24.1,3.295836866004329,3.1,0.0,0.0
8,6,11,3,91.5,145.4,608.2,10.7,8.0,4.454347296253507,2.2,0.0,0.0
8,6,10,2,91.0,129.5,692.6,7.0,13.1,4.143134726391533,5.4,0.0,0.0
7,5,10,4,92.5,88.0,698.6,7.1,22.8,3.6888794541139363,4.0,0.0,0.0
7,5,10,4,92.5,88.0,698.6,7.1,17.8,3.9318256327243257,7.2,0.0,0.0
7,5,10,4,92.8,73.2,713.0,22.6,19.3,3.6375861597263857,4.0,0.0,0.0
6,5,11,5,63.5,70.8,665.3,0.8,17.0,4.276666119016055,6.7,0.0,0.0
6,5,10,3,90.9,126.5,686.5,7.0,21.3,3.7376696182833684,2.2,0.0,0.0
6,5,10,0,92.9,133.3,699.6,9.2,26.4,3.044522437723423,4.5,0.0,0.0
6,5,10,5,93.3,141.2,713.9,13.9,22.9,3.784189633918261,5.4,0.0,0.0
5,5,9,4,91.7,35.8,80.8,7.8,15.1,3.295836866004329,5.4,0.0,0.0
8,5,5,3,84.9,32.8,664.2,3.0,16.7,3.8501476017100584,4.9,0.0,0.0
6,4,9,0,89.2,27.9,70.8,6.3,15.9,3.5553480614894135,4.0,0.0,0.0
6,4,3,4,86.3,27.4,97.1,5.1,9.3,3.784189633918261,4.5,0.0,0.0
6,4,10,2,91.0,129.5,692.6,7.0,18.3,3.6888794541139363,2.7,0.0,0.0
5,4,10,3,91.8,78.5,724.3,9.2,19.1,3.6375861597263857,2.7,0.0,0.0
7,4,6,6,94.3,96.3,200.0,8.4,21.0,3.784189633918261,4.5,0.0,0.0
7,4,11,4,90.2,110.9,537.4,6.2,19.5,3.7612001156935624,5.8,0.0,0.0
7,4,11,4,93.5,139.4,594.2,20.3,23.7,3.4657359027997265,5.8,0.0,0.0
7,4,11,6,91.4,142.4,601.4,10.6,16.3,4.0943445622221,5.4,0.0,0.0
7,4,10,5,92.4,117.9,668.0,12.2,19.0,3.5263605246161616,5.8,0.0,0.0
7,4,10,3,90.9,126.5,686.5,7.0,19.4,3.871201010907891,1.3,0.0,0.0
6,3,10,4,93.4,145.4,721.4,8.1,30.2,3.1780538303479458,2.7,0.0,0.0
6,3,10,6,93.5,149.3,728.6,8.1,22.8,3.6635616461296463,3.6,0.0,0.0
6,3,10,5,94.3,85.1,692.3,15.9,25.4,3.1780538303479458,3.6,0.0,0.0
6,3,10,3,88.6,91.8,709.9,7.1,11.2,4.356708826689592,7.6,0.0,0.0
6,3,10,5,88.6,69.7,706.8,5.8,20.6,3.6109179126442243,1.8,0.0,0.0
6,3,10,6,91.7,75.6,718.3,7.8,17.7,3.6635616461296463,3.6,0.0,0.0
6,3,10,3,91.8,78.5,724.3,9.2,21.2,3.4657359027997265,2.7,0.0,0.0
6,3,10,2,90.3,80.7,730.2,6.3,18.2,4.127134385045092,4.5,0.0,0.0
6,3,5,2,90.6,35.4,669.1,6.7,21.7,3.1780538303479458,4.5,0.0,0.0
7,4,5,5,90.0,41.5,682.6,8.7,11.3,4.0943445622221,5.4,0.0,0.0
7,3,5,4,90.6,43.7,686.9,6.7,17.8,3.295836866004329,4.0,0.0,0.0
4,4,9,2,88.1,25.7,67.6,3.8,14.1,3.7612001156935624,2.7,0.0,0.0
4,4,8,2,79.5,60.6,366.7,1.5,23.3,3.6109179126442243,3.1,0.0,0.0
4,4,11,4,90.2,96.9,624.2,8.9,18.4,3.7376696182833684,6.7,0.0,0.0
4,4,11,2,94.8,108.3,647.1,17.0,16.6,3.9889840465642745,5.4,0.0,0.0
4,4,10,4,92.5,88.0,698.6,7.1,19.6,3.871201010907891,2.7,0.0,0.0
4,4,10,0,90.1,82.9,735.7,6.2,12.9,4.30406509320417,4.9,0.0,0.0
5,6,10,0,94.3,85.1,692.3,15.9,25.9,3.1780538303479458,4.0,0.0,0.0
5,6,10,3,90.9,126.5,686.5,7.0,14.7,4.248495242049359,3.6,0.0,0.0
6,6,8,3,94.2,62.3,442.9,11.0,23.0,3.58351893845611,3.1,0.0,0.0
4,4,9,3,87.2,23.9,64.7,4.1,11.8,3.5553480614894135,1.8,0.0,0.0
4,4,9,3,87.6,52.2,103.8,5.0,11.0,3.828641396489095,5.8,0.0,0.0
4,4,10,1,92.9,137.0,706.4,9.2,20.8,2.833213344056216,1.3,0.0,0.0
4,3,11,6,90.2,99.6,631.2,6.3,21.5,3.5263605246161616,2.2,0.0,0.0
4,3,11,0,92.1,111.2,654.1,9.6,20.4,3.7376696182833684,4.9,0.0,0.0
4,3,11,0,92.1,111.2,654.1,9.6,20.4,3.7376696182833684,4.9,0.0,0.0
4,3,11,1,91.7,114.3,661.3,6.3,17.6,3.8066624897703196,3.6,0.0,0.0
4,3,10,1,92.9,137.0,706.4,9.2,27.7,3.1780538303479458,2.2,0.0,0.0
4,3,10,2,90.3,80.7,730.2,6.3,17.8,4.143134726391533,4.9,0.0,0.0
4,3,5,6,92.6,46.5,691.8,8.8,13.8,3.912023005428146,2.7,0.0,0.0
2,2,7,3,84.0,9.3,34.0,2.1,13.9,3.6888794541139363,5.4,0.0,0.0
2,2,7,5,86.6,13.2,43.0,5.3,12.3,3.9318256327243257,0.9,0.0,0.0
2,2,9,6,89.3,51.3,102.2,9.6,11.5,3.6635616461296463,5.8,0.0,0.0
2,2,9,6,89.3,51.3,102.2,9.6,5.5,4.07753744390572,6.3,0.0,0.0
2,2,11,1,93.0,75.3,466.6,7.7,18.8,3.5553480614894135,4.9,0.0,0.0
2,2,11,6,90.2,99.6,631.2,6.3,20.8,3.4965075614664802,2.7,0.0,0.0
2,2,11,3,91.1,103.2,638.8,5.8,23.1,3.4339872044851463,3.1,0.0,0.0
2,2,11,1,91.7,114.3,661.3,6.3,18.6,3.784189633918261,4.5,0.0,0.0
2,2,10,5,92.4,117.9,668.0,12.2,23.0,3.6109179126442243,4.5,0.0,0.0
2,2,10,5,92.4,117.9,668.0,12.2,19.6,3.4965075614664802,5.4,0.0,0.0
2,2,10,5,92.4,117.9,668.0,12.2,19.6,3.4965075614664802,6.3,0.0,0.0
4,5,9,5,91.7,33.3,77.5,9.0,17.2,3.258096538021482,4.5,0.0,0.0
4,5,9,5,91.2,48.3,97.8,12.5,15.8,3.295836866004329,7.6,0.0,0.0
4,5,10,5,94.3,85.1,692.3,15.9,17.7,3.6109179126442243,3.6,0.0,0.0
5,4,9,5,91.7,33.3,77.5,9.0,15.6,3.2188758248682006,6.3,0.0,0.0
5,4,11,2,88.8,147.3,614.5,9.0,17.3,3.7612001156935624,4.5,0.0,0.0
5,4,10,5,93.3,141.2,713.9,13.9,27.6,3.4011973816621555,1.3,0.0,0.0
9,9,7,1,84.2,6.8,26.6,7.7,6.7,4.3694478524670215,3.1,0.0,0.0
9,9,7,5,86.6,13.2,43.0,5.3,15.7,3.7612001156935624,3.1,0.0,0.0
1,3,9,3,87.6,52.2,103.8,5.0,8.3,4.276666119016055,3.1,0.0,0.0
1,2,11,5,90.1,108.0,529.8,12.5,14.7,4.189654742026425,2.7,0.0,0.0
1,2,11,2,91.0,121.2,561.6,7.0,21.6,2.9444389791664403,6.7,0.0,0.0
1,2,11,6,91.4,142.4,601.4,10.6,19.5,3.6635616461296463,6.3,0.0,0.0
1,2,11,6,90.2,99.6,631.2,6.3,17.9,3.784189633918261,2.2,0.0,0.0
1,2,11,2,94.8,108.3,647.1,17.0,18.6,3.9318256327243257,4.5,0.0,0.0
1,2,11,0,92.1,111.2,654.1,9.6,16.6,3.8501476017100584,0.9,0.0,0.0
1,2,11,1,91.7,114.3,661.3,6.3,20.2,3.8066624897703196,3.6,0.0,0.0
1,2,10,1,92.9,137.0,706.4,9.2,21.5,2.70805020110221,0.9,0.0,0.0
1,2,10,1,92.9,137.0,706.4,9.2,25.4,3.295836866004329,2.2,0.0,0.0
1,2,10,1,92.9,137.0,706.4,9.2,22.4,3.5263605246161616,2.2,0.0,0.0
1,2,10,6,93.5,149.3,728.6,8.1,25.3,3.58351893845611,3.6,0.0,0.0
6,5,9,4,91.7,35.8,80.8,7.8,17.4,3.2188758248682006,4.9,0.0,0.0
6,5,11,4,90.2,96.9,624.2,8.9,14.7,4.07753744390572,5.8,0.0,0.0
8,6,9,5,91.7,35.8,80.8,7.8,17.4,3.1780538303479458,5.4,0.0,0.0
8,6,11,6,92.3,85.3,488.0,14.7,20.8,3.4657359027997265,6.3,0.0,0.0
8,6,11,6,91.4,142.4,601.4,10.6,18.2,3.7612001156935624,4.9,0.0,0.0
8,6,11,3,91.1,103.2,638.8,5.8,23.4,3.091042453358316,2.7,0.0,0.0
4,4,10,6,89.7,90.0,704.4,4.8,17.8,4.1588830833596715,1.3,0.0,0.0
3,4,7,4,83.9,8.0,30.2,2.6,12.7,3.871201010907891,1.8,0.0,0.0
3,4,9,4,69.0,2.4,15.5,0.7,17.4,3.1780538303479458,5.4,0.0,0.0
3,4,11,6,91.4,142.4,601.4,10.6,11.6,4.465908118654584,4.5,0.0,0.0
3,4,11,6,91.4,142.4,601.4,10.6,19.8,3.6635616461296463,5.4,0.0,0.0
3,4,11,6,91.4,142.4,601.4,10.6,19.8,3.6635616461296463,5.4,0.0,0.0
3,4,11,2,88.8,147.3,614.5,9.0,14.4,4.189654742026425,5.4,0.0,0.0
2,4,11,2,94.8,108.3,647.1,17.0,20.1,3.6888794541139363,4.0,0.0,0.0
2,4,10,4,92.5,121.1,674.4,8.6,24.1,3.367295829986474,4.5,0.0,0.0
2,4,1,4,82.1,3.7,9.3,2.9,5.3,4.356708826689592,3.1,0.0,0.0
4,5,9,5,85.9,19.5,57.3,2.8,12.7,3.9512437185814275,6.3,0.0,0.0
4,5,9,1,91.4,30.7,74.3,7.5,18.2,3.367295829986474,3.1,0.0,0.0
4,5,11,6,90.2,99.6,631.2,6.3,21.4,3.4965075614664802,3.1,0.0,0.0
4,5,10,4,92.5,88.0,698.6,7.1,20.3,3.8066624897703196,3.1,0.0,0.0
4,5,10,3,88.6,91.8,709.9,7.1,17.4,4.02535169073515,5.4,0.0,0.0
4,4,9,5,85.9,19.5,57.3,2.8,13.7,3.7612001156935624,5.8,0.0,0.0
3,4,9,5,91.7,33.3,77.5,9.0,18.8,2.8903717578961645,4.5,0.0,0.0
3,4,10,6,89.7,90.0,704.4,4.8,22.8,3.6635616461296463,3.6,0.0,0.0
3,4,10,3,91.8,78.5,724.3,9.2,18.9,3.5553480614894135,2.7,0.0,0.0
3,4,9,2,88.1,25.7,67.6,3.8,15.8,3.295836866004329,7.6,0.0,0.0
3,5,9,2,88.1,25.7,67.6,3.8,15.5,3.295836866004329,6.3,0.0,0.0
3,4,9,4,91.7,35.8,80.8,7.8,11.6,3.4011973816621555,6.3,0.0,0.0
3,4,9,4,91.7,35.8,80.8,7.8,15.2,3.295836866004329,4.9,0.0,0.0
3,4,9,3,90.1,39.7,86.6,6.2,10.6,3.4011973816621555,4.0,0.0,0.0
3,4,11,1,93.0,75.3,466.6,7.7,19.6,3.58351893845611,3.1,0.0,0.0
3,4,11,3,91.5,145.4,608.2,10.7,10.3,4.30406509320417,2.2,0.0,0.0
3,4,11,3,91.5,145.4,608.2,10.7,17.1,3.7612001156935624,5.4,0.0,0.0
3,4,10,6,92.4,124.1,680.7,8.5,22.5,3.7376696182833684,5.4,0.0,0.0
3,4,10,2,84.4,73.4,671.9,3.2,17.9,3.8066624897703196,3.1,0.0,0.0
3,4,10,5,94.3,85.1,692.3,15.9,19.8,3.912023005428146,5.4,0.0,0.0
3,4,5,6,92.6,46.5,691.8,8.8,20.6,3.1780538303479458,5.4,0.0,0.0
3,5,9,3,87.6,52.2,103.8,5.0,9.0,3.8918202981106265,2.2,0.0,0.0
3,5,10,5,93.5,149.3,728.6,8.1,17.2,3.7612001156935624,3.1,0.0,0.0
3,5,5,0,91.4,37.9,673.8,5.2,15.9,3.828641396489095,3.6,0.0,0.0
2,5,5,6,92.6,46.5,691.8,8.8,15.4,3.5553480614894135,0.9,0.0,0.0
4,6,7,4,68.2,21.5,87.2,0.8,15.4,3.6888794541139363,2.7,0.0,0.0
4,6,9,3,87.2,23.9,64.7,4.1,14.0,3.6635616461296463,3.1,0.0,0.0
4,6,9,6,89.3,51.3,102.2,9.6,10.6,3.828641396489095,4.9,0.0,0.0
4,6,10,1,93.7,80.9,685.2,17.9,17.6,3.7376696182833684,3.1,0.0,0.0
3,5,9,2,88.1,25.7,67.6,3.8,14.9,3.6375861597263857,2.7,0.0,0.0
3,5,11,4,93.5,139.4,594.2,20.3,17.6,3.9512437185814275,5.8,0.0,0.0
3,6,10,6,92.4,124.1,680.7,8.5,17.2,4.060443010546419,1.3,0.0,0.0
3,6,10,3,90.9,126.5,686.5,7.0,15.6,4.189654742026425,3.1,0.0,0.0
9,9,8,2,85.8,48.3,313.4,3.9,18.0,3.7376696182833684,2.7,0.0,0.36
1,4,10,2,91.0,129.5,692.6,7.0,21.7,3.6375861597263857,2.2,0.0,0.43
2,5,10,3,90.9,126.5,686.5,7.0,21.9,3.6635616461296463,1.8,0.0,0.47
1,2,11,0,95.5,99.9,513.3,13.2,23.3,3.4339872044851463,4.5,0.0,0.55
8,6,11,5,90.1,108.0,529.8,12.5,21.2,3.9318256327243257,8.9,0.0,0.61
1,2,8,4,90.0,51.3,296.3,8.7,16.6,3.970291913552122,5.4,0.0,0.71
2,5,11,0,95.5,99.9,513.3,13.2,23.8,3.4657359027997265,5.4,0.0,0.77
6,5,11,1,95.2,131.7,578.8,10.4,27.4,3.091042453358316,4.0,0.0,0.9
5,4,9,3,90.1,39.7,86.6,6.2,13.2,3.6888794541139363,5.4,0.0,0.95
8,3,10,2,84.4,73.4,671.9,3.2,24.2,3.332204510175204,3.6,0.0,0.96
2,2,11,2,94.8,108.3,647.1,17.0,17.4,3.7612001156935624,6.7,0.0,1.07
8,6,10,1,93.7,80.9,685.2,17.9,23.7,3.2188758248682006,4.5,0.0,1.12
6,5,6,5,92.5,56.4,433.3,7.1,23.2,3.6635616461296463,5.4,0.0,1.19
9,9,8,6,90.1,68.6,355.2,7.2,24.8,3.367295829986474,2.2,0.0,1.36
3,4,8,4,90.1,51.2,424.1,6.2,24.6,3.7612001156935624,1.8,0.0,1.43
5,4,10,5,94.3,85.1,692.3,15.9,20.1,3.8501476017100584,4.9,0.0,1.46
1,5,10,4,93.4,145.4,721.4,8.1,29.6,3.295836866004329,2.7,0.0,1.46
7,4,11,6,94.8,108.3,647.1,17.0,16.4,3.8501476017100584,1.3,0.0,1.56
2,4,10,4,93.4,145.4,721.4,8.1,28.6,3.295836866004329,2.2,0.0,1.61
2,2,11,0,92.1,111.2,654.1,9.6,18.4,3.8066624897703196,3.6,0.0,1.63
2,4,11,0,92.1,111.2,654.1,9.6,20.5,3.5553480614894135,4.0,0.0,1.64
7,4,10,5,92.4,117.9,668.0,12.2,19.0,3.5263605246161616,5.8,0.0,1.69
7,4,9,3,90.1,39.7,86.6,6.2,16.1,3.367295829986474,3.1,0.0,1.75
6,4,11,1,95.2,131.7,578.8,10.4,20.3,3.713572066704308,4.0,0.0,1.9
6,3,9,4,90.6,50.1,100.4,7.8,15.2,3.4339872044851463,8.5,0.0,1.94
8,6,10,4,92.5,121.1,674.4,8.6,17.8,4.02535169073515,1.8,0.0,1.95
8,5,10,6,89.7,90.0,704.4,4.8,17.8,4.204692619390966,2.2,0.0,2.01
6,5,9,1,84.9,18.2,55.0,3.0,5.3,4.248495242049359,4.5,0.0,2.14
6,5,11,0,92.1,111.2,654.1,9.6,16.6,3.8501476017100584,0.9,0.0,2.29
6,5,11,0,96.0,127.1,570.5,16.5,23.4,3.4965075614664802,4.5,0.0,2.51
6,5,9,5,91.2,48.3,97.8,12.5,14.6,3.258096538021482,9.4,0.0,2.53
8,6,11,1,95.2,131.7,578.8,10.4,20.7,3.8066624897703196,2.2,0.0,2.55
5,4,10,0,92.9,133.3,699.6,9.2,21.9,3.5553480614894135,1.8,0.0,2.57
8,6,11,0,85.6,90.4,609.6,6.6,17.4,3.912023005428146,4.0,0.0,2.69
7,4,11,6,91.4,142.4,601.4,10.6,20.1,3.6635616461296463,5.4,0.0,2.74
4,4,10,3,90.9,126.5,686.5,7.0,17.7,3.6635616461296463,2.2,0.0,3.07
1,4,11,4,90.2,96.9,624.2,8.9,14.2,3.970291913552122,1.8,0.0,3.5
1,4,11,4,90.2,96.9,624.2,8.9,20.3,3.6635616461296463,4.9,0.0,4.53
6,5,3,1,81.5,9.1,55.2,2.7,5.8,3.9889840465642745,5.8,0.0,4.61
2,5,11,6,90.2,99.6,631.2,6.3,19.2,3.784189633918261,2.7,0.0,4.69
2,5,10,0,90.1,82.9,735.7,6.2,18.3,3.8066624897703196,2.2,0.0,4.88
8,6,11,2,88.8,147.3,614.5,9.0,14.4,4.189654742026425,5.4,0.0,5.23
1,3,10,6,92.4,124.1,680.7,8.5,23.9,3.4657359027997265,6.7,0.0,5.33
8,6,5,3,84.9,32.8,664.2,3.0,19.1,3.4657359027997265,4.0,0.0,5.44
5,4,7,6,86.8,15.6,48.3,3.9,12.4,3.970291913552122,2.2,0.0,6.38
7,4,5,3,91.7,48.5,696.1,11.1,16.8,3.8066624897703196,4.5,0.0,6.83
8,6,11,5,93.9,135.7,586.7,15.1,20.8,3.5263605246161616,4.9,0.0,6.96
2,5,10,2,91.0,129.5,692.6,7.0,17.6,3.828641396489095,3.1,0.0,7.04
8,6,9,6,89.3,51.3,102.2,9.6,11.5,3.6635616461296463,5.8,0.0,7.19
1,5,10,3,90.9,126.5,686.5,7.0,21.0,3.7376696182833684,2.2,0.0,7.3
6,4,9,4,90.8,41.9,89.4,7.9,13.3,3.7376696182833684,0.9,0.0,7.4
7,4,9,6,90.7,44.0,92.4,5.5,11.5,4.0943445622221,4.0,0.0,8.24
6,5,9,5,91.2,48.3,97.8,12.5,11.7,3.4965075614664802,4.0,0.0,8.31
2,5,11,1,95.2,131.7,578.8,10.4,24.2,3.332204510175204,2.7,0.0,8.68
2,2,11,2,94.8,108.3,647.1,17.0,24.6,3.091042453358316,4.5,0.0,8.71
4,5,10,0,92.9,133.3,699.6,9.2,24.3,3.2188758248682006,4.0,0.0,9.41
2,2,11,2,94.8,108.3,647.1,17.0,24.6,3.091042453358316,4.5,0.0,10.01
2,5,11,5,93.9,135.7,586.7,15.1,23.5,3.58351893845611,5.4,0.0,10.02
6,5,3,1,81.5,9.1,55.2,2.7,5.8,3.9889840465642745,5.8,0.0,10.93
4,5,10,1,92.9,137.0,706.4,9.2,21.5,2.70805020110221,0.9,0.0,11.06
3,4,10,2,91.0,129.5,692.6,7.0,13.9,4.07753744390572,6.3,0.0,11.24
2,4,10,3,63.5,70.8,665.3,0.8,22.6,3.6375861597263857,3.6,0.0,11.32
1,5,10,2,91.0,129.5,692.6,7.0,21.6,3.4965075614664802,2.2,0.0,11.53
6,5,9,6,90.1,37.6,83.7,7.2,12.4,3.9889840465642745,3.6,0.0,12.1
7,4,7,6,83.9,8.7,32.1,2.1,8.8,4.219507705176107,2.2,0.0,13.05
8,6,5,0,91.4,37.9,673.8,5.2,20.2,3.6109179126442243,2.7,0.0,13.7
5,6,9,4,90.6,50.1,100.4,7.8,15.1,4.1588830833596715,4.0,0.0,13.99
4,5,10,1,92.9,137.0,706.4,9.2,22.1,3.5263605246161616,1.8,0.0,14.57
2,2,11,4,93.5,139.4,594.2,20.3,22.9,3.4339872044851463,7.2,0.0,15.45
7,5,10,2,91.0,129.5,692.6,7.0,20.7,3.6109179126442243,2.2,0.0,17.2
6,5,10,5,92.4,117.9,668.0,12.2,19.6,3.4965075614664802,6.3,0.0,19.23
8,3,10,1,93.7,80.9,685.2,17.9,23.2,3.258096538021482,4.9,0.0,23.41
4,4,5,4,90.6,43.7,686.9,6.7,18.4,3.2188758248682006,3.1,0.0,24.23
7,4,11,4,93.5,139.4,594.2,20.3,5.1,4.564348191467836,5.8,0.0,26.0
7,4,10,5,94.3,85.1,692.3,15.9,20.1,3.8501476017100584,4.9,0.0,26.13
7,3,9,3,87.6,52.2,103.8,5.0,11.0,3.828641396489095,5.8,0.0,27.35
4,4,9,4,91.7,35.8,80.8,7.8,17.0,3.295836866004329,4.9,0.0,28.66
4,4,9,4,91.7,35.8,80.8,7.8,17.0,3.295836866004329,4.9,0.0,28.66
4,4,10,6,92.4,124.1,680.7,8.5,16.9,4.0943445622221,1.3,0.0,29.48
1,3,10,3,88.6,91.8,709.9,7.1,12.4,4.290459441148391,6.3,0.0,30.32
4,5,10,0,92.9,133.3,699.6,9.2,19.4,2.9444389791664403,1.3,0.0,31.72
6,5,9,3,90.1,39.7,86.6,6.2,15.2,3.295836866004329,3.1,0.0,31.86
8,6,11,6,90.2,99.6,631.2,6.3,16.2,4.07753744390572,3.1,0.0,32.07
3,4,10,5,93.3,141.2,713.9,13.9,18.6,3.8918202981106265,3.6,0.0,35.88
4,3,9,3,87.6,52.2,103.8,5.0,11.0,3.828641396489095,5.8,0.0,36.85
2,2,8,5,88.3,150.3,309.9,6.8,13.4,4.3694478524670215,3.6,0.0,37.02
7,4,10,0,90.1,82.9,735.7,6.2,15.4,4.04305126783455,4.5,0.0,37.71
4,4,10,6,93.5,149.3,728.6,8.1,22.9,3.6635616461296463,4.9,0.0,48.55
7,5,5,3,91.7,48.5,696.1,11.1,16.1,3.784189633918261,4.0,0.0,49.37
8,6,11,4,92.2,81.8,480.8,11.9,20.1,3.5263605246161616,4.5,0.0,58.3
4,6,10,6,93.5,149.3,728.6,8.1,28.3,3.258096538021482,3.1,0.0,64.1
8,6,11,4,92.2,81.8,480.8,11.9,16.4,3.7612001156935624,4.0,0.0,71.3
4,4,10,0,92.9,133.3,699.6,9.2,26.4,3.044522437723423,4.5,0.0,88.49
1,5,10,6,93.5,149.3,728.6,8.1,27.8,3.295836866004329,3.1,0.0,95.18
6,4,10,2,91.0,129.5,692.6,7.0,18.7,3.7612001156935624,2.7,0.0,103.39
9,4,10,2,84.4,73.4,671.9,3.2,24.3,3.58351893845611,3.1,0.0,105.66
4,5,10,4,92.5,121.1,674.4,8.6,17.7,3.2188758248682006,3.1,0.0,154.88
8,6,11,6,91.4,142.4,601.4,10.6,19.6,3.713572066704308,5.8,0.0,196.48
2,2,10,4,92.5,121.1,674.4,8.6,18.2,3.828641396489095,1.8,0.0,200.94
1,2,10,2,91.0,129.5,692.6,7.0,18.8,3.6888794541139363,2.2,0.0,0.52
6,5,10,4,92.5,121.1,674.4,8.6,25.1,3.295836866004329,4.0,0.0,0.52
7,5,3,6,81.9,3.0,7.9,3.5,13.4,4.31748811353631,1.8,0.0,0.0
6,3,3,0,88.0,17.2,43.5,3.8,15.2,3.9318256327243257,2.7,0.0,0.0
4,4,3,5,83.0,23.3,85.3,2.3,16.7,2.995732273553991,3.1,0.0,0.0
2,4,11,6,94.2,122.3,589.9,12.9,15.4,4.189654742026425,4.0,0.0,10.13
7,4,11,6,91.8,175.1,700.7,13.8,21.9,4.290459441148391,7.6,1.0,0.0
2,4,11,6,91.8,175.1,700.7,13.8,22.4,3.9889840465642745,7.6,0.0,2.87
3,4,11,6,91.8,175.1,700.7,13.8,26.8,3.6375861597263857,6.3,0.0,0.76
5,4,11,6,91.8,175.1,700.7,13.8,25.7,3.6635616461296463,5.4,0.0,0.09
2,4,11,0,92.2,91.6,503.6,9.6,20.7,4.248495242049359,2.2,0.0,0.75
8,6,11,0,93.1,157.3,666.7,13.5,28.7,3.332204510175204,2.7,0.0,0.0
3,4,11,0,93.1,157.3,666.7,13.5,21.7,3.6888794541139363,0.4,0.0,2.47
8,5,11,0,93.1,157.3,666.7,13.5,26.8,3.2188758248682006,3.1,0.0,0.68
8,5,11,0,93.1,157.3,666.7,13.5,24.0,3.58351893845611,3.1,0.0,0.24
6,5,11,0,93.1,157.3,666.7,13.5,22.1,3.6109179126442243,3.6,0.0,0.21
7,4,11,1,91.9,109.2,565.5,8.0,21.4,3.6375861597263857,2.7,0.0,1.52
6,3,11,1,91.6,138.1,621.7,6.3,18.9,3.713572066704308,3.1,0.0,10.34
2,5,11,1,87.5,77.0,694.8,5.0,22.3,3.828641396489095,4.0,0.0,0.0
8,6,11,4,94.2,117.2,581.1,11.0,23.9,3.713572066704308,2.2,0.0,8.02
4,3,11,4,94.2,117.2,581.1,11.0,21.4,3.784189633918261,2.7,0.0,0.68
